CPID,max_duration,avg_duration
AN00218,3.4594444444444443,1.556851851851852
AN00603,7.783333333333333,28.71675925925926
AN03946,4.033333333333333,7.879444444444444
AN04630,34.32388888888889,22.939351851851853
AN05089,5.42,9.779351851851851
AN08083,2.7333333333333334,1.4627083333333335
AN08663,41.71388888888889,15.950092592592592
AN03896,4.008055555555556,5.414166666666667
AN06739,2.183333333333333,4.9013888888888895
AN06965,25.4,8.988888888888889
AN08377,23.95,17.816319444444446
AN09764,5.983333333333333,5.92
AN10884,24.1,16.90138888888889
AN11526,5.116666666666666,11.577777777777778
AN12429,22.566666666666666,13.100000000000001
AN16172,6.7,11.238888888888889
AN04423,2.15,7.466666666666666
AN08380,6.283333333333333,8.321250000000001
AN09713,10.216666666666667,4.072222222222222
AN11463,8.333333333333334,7.345555555555555
AN15995,3.783333333333333,3.559351851851852
AN17688,3.033333333333333,6.709351851851852
AN23190,8.683333333333334,12.601018518518517
AN00262,7.57,10.985925925925926
AN04526,9.966666666666667,8.420046296296297
AN06740,12.866666666666667,8.096111111111112
AN11196,8.860833333333334,14.106574074074075
AN13835,7.1,9.398166666666668
AN21795,3.2394444444444446,6.515185185185185
AN22470,5.627777777777778,2.4445138888888893
AN02540,9.252777777777778,10.547152777777779
AN04138,4.5,6.561111111111111
AN21874,65.5813888888889,35.57277777777778
AN23294,9.8175,9.773055555555556
AN00553,46.31666666666667,33.77430555555556
AN02064,8.33361111111111,6.097277777777778
AN03624,7.75,6.766666666666666
AN09733,18.5,10.734351851851853
AN11367,16.2,9.506666666666666
AN14673,4.3675,6.888888888888889
AN24451,4.316944444444444,6.042685185185185
AN00670,33.443888888888885,21.780648148148146
AN02522,9.433333333333334,8.952962962962962
AN02661,16.906666666666666,6.239722222222222
AN03344,4.7,10.884629629629629
AN05927,16.983333333333334,9.9
AN14050,6.7,9.694444444444445
AN18346,19.316666666666666,15.284351851851852
AN23999,2.5527777777777776,5.5922222222222215
AN06370,6.754722222222222,5.712407407407408
AN08659,9.133333333333333,17.844444444444445
AN09741,13.889166666666666,4.4648611111111105
AN10210,9.933333333333334,9.460833333333333
AN11161,24.5,19.083333333333332
AN11719,3.2333333333333334,9.529944444444444
AN01048,24.43111111111111,17.11685185185185
AN02682,9.695,7.795
AN06870,12.966666666666667,4.861111111111112
AN03713,7.966666666666667,4.910185185185186
AN03874,2.6333333333333333,1.4234722222222222
AN04200,33.233333333333334,12.815416666666666
AN06534,20.7,9.962546296296297
AN13312,11.990277777777777,7.953518518518519
AN13444,9.2,11.598749999999999
AN15209,3.9816666666666665,5.136111111111111
AN22353,9.688611111111111,15.199814814814815
AN24627,4.5,6.8993518518518515
AN00254,19.199166666666667,16.345925925925926
AN02908,17.866666666666667,11.178796296296296
AN04069,2.75,9.972222222222221
AN05417,23.966666666666665,11.777777777777779
AN08129,39.583333333333336,23.286481481481484
AN09917,14.167777777777777,13.923796296296297
AN15756,21.516666666666666,8.953194444444444
AN15940,24.9075,21.356111111111108
AN15988,20.645,9.848888888888888
AN04505,6.008333333333334,8.812777777777779
AN04941,9.5408333333333335,8.635444444444444
AN05510,7.166666666666667,12.7475
AN11312,4.15,5.658518518518519
AN15797,9.8405555555555555,6.214375
AN21904,14.645555555555555,13.638240740740741
AN22924,22.368333333333332,8.436574074074073
AN24443,3.0588888888888888,9.608888888888888
AN02288,6.398611111111111,18.61548611111111
AN03025,2.9,4.638888888888889
AN03521,3.3019444444444446,6.282870370370371
AN05940,14.916666666666666,7.166666666666666
AN08666,5.2,7.1127777777777785
AN14959,15.202222222222222,8.696944444444444
AN15123,1.8569444444444445,0.8800925925925926
AN15129,4.564444444444445,8.575694444444444
AN15687,9.9625,4.786458333333334
AN15794,45.6875,27.453611111111112
AN22939,14.15,5.135833333333333
AN01256,7.54,7.323518518518519
AN01841,15.35,9.432037037037036
AN04239,17.733333333333334,11.15675925925926
AN02867,16.362222222222222,7.154652777777778
AN03858,4.433333333333334,7.866481481481482
AN06780,3.3333333333333335,8.920370370370371
AN10235,8.95,11.509444444444446
AN17590,3.85,5.313333333333333
AN24895,17.89472222222222,9.313888888888888
AN24947,3.0594444444444444,1.9449074074074073
AN06511,13.418611111111112,8.402592592592592
AN06617,8.374166666666667,3.522222222222222
AN06845,22.3,17.91111111111111
AN10990,1.9119444444444444,1.508263888888889
AN11509,11.196666666666667,10.86814814814815
AN14385,4.183333333333334,9.574537037037038
AN01979,23.383333333333333,12.088888888888889
AN02068,2.45,10.334907407407407
AN04854,6.249722222222222,10.483796296296298
AN13627,20.226388888888888,11.475462962962963
AN15056,6.15,13.152129629629632
AN16270,13.816666666666666,12.3375
AN01883,5.416666666666667,2.422222222222222
AN03027,67.43333333333334,25.59625
AN10813,3.31,7.042277777777777
AN10981,13.533611111111112,4.7945370370370375
AN12554,19.216666666666665,16.383333333333333
AN15216,15.416666666666666,10.902916666666666
AN05112,2.1277777777777778,7.3971527777777775
AN11373,11.816666666666666,7.823333333333333
AN11992,6,2.6
AN23012,4.840833333333333,7.649814814814815
AN02939,24.8925,12.542847222222221
AN04258,1.8691666666666666,1.1526851851851851
AN06380,17.316666666666666,15.114166666666668
AN08516,9.95,10.644537037037038
AN11683,8.933333333333334,11.23311111111111
AN23393,3.480277777777778,6.215833333333334
AN01102,4.066666666666666,3.815740740740741
AN01642,7.290277777777778,7.313425925925927
AN10282,16.116666666666667,11.008981481481483
AN00943,60.666666666666664,23.61097222222222
AN03055,13.163611111111111,6.7494907407407405
